Tick,Color,Tone,TimeDur,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,start_session_two,start_stress_one,end_stress_one,rating_evaluation_one.response,rating_evaluation_one.rt,rating_evaluation_two.response,rating_evaluation_two.rt,start_stress_two,key_resp_part_two_meas.keys,key_resp_part_two_meas.rt,key_resp_part_two_meas.started,key_resp_part_two_meas.stopped,end_stress_two,start_cooldown_measurement,end_cooldown_measurement,end_session_two,participant,session,date,expName,psychopyVersion,frameRate,
1,green,440,1.0,,,,,,0,0,0,0,,,,,2019-09-05_12:15:37,2019-09-05_12:16:48,,,,,,,,,,,,,,,md,002,2019_Sep_05_1215,StressSession,3.1.3,60.02253648093537,
2,green,440,1.0,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,md,002,2019_Sep_05_1215,StressSession,3.1.3,60.02253648093537,
3,green,440,1.0,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,md,002,2019_Sep_05_1215,StressSession,3.1.3,60.02253648093537,
4,green,440,1.0,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,md,002,2019_Sep_05_1215,StressSession,3.1.3,60.02253648093537,
5,green,440,1.0,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,md,002,2019_Sep_05_1215,StressSession,3.1.3,60.02253648093537,
6,green,440,1.0,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,md,002,2019_Sep_05_1215,StressSession,3.1.3,60.02253648093537,
7,green,440,1.0,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,md,002,2019_Sep_05_1215,StressSession,3.1.3,60.02253648093537,
8,green,440,1.0,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,md,002,2019_Sep_05_1215,StressSession,3.1.3,60.02253648093537,
9,green,440,1.0,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,md,002,2019_Sep_05_1215,StressSession,3.1.3,60.02253648093537,
10,green,440,1.0,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,md,002,2019_Sep_05_1215,StressSession,3.1.3,60.02253648093537,
11,green,440,1.0,,,,,,0,10,10,10,,,,,,,,,,,,,,,,,,,,,md,002,2019_Sep_05_1215,StressSession,3.1.3,60.02253648093537,
12,green,440,1.0,,,,,,0,11,11,11,,,,,,,,,,,,,,,,,,,,,md,002,2019_Sep_05_1215,StressSession,3.1.3,60.02253648093537,
13,green,440,1.0,,,,,,0,12,12,12,,,,,,,,,,,,,,,,,,,,,md,002,2019_Sep_05_1215,StressSession,3.1.3,60.02253648093537,
