Tick,Color,WordItem,WordColor,AnsLeft,AnsRight,AnsCorr,tick.thisRepN,tick.thisTrialN,tick.thisN,tick.thisIndex,stroop_trials.thisRepN,stroop_trials.thisTrialN,stroop_trials.thisN,stroop_trials.thisIndex,emotion_trials_pos.thisRepN,emotion_trials_pos.thisTrialN,emotion_trials_pos.thisN,emotion_trials_pos.thisIndex,path,weight,name,description,type,pictures,pic_width,pic_height,new_width,new_height,text_welcome_screen.started,text_welcome_screen.stopped,text_baseline_instructions_title.started,text_baseline_instructions_title.stopped,text_baseline_measurement.started,text_baseline_measurement.stopped,rating_baseline.response,rating_baseline.rt,text_part_one_evaluation.started,text_part_one_evaluation.stopped,rating_stress_part_one.response,rating_stress_part_one.rt,text_part_one_evaluation_2.started,text_part_one_evaluation_2.stopped,text_word_item.started,text_word_item.stopped,key_resp_stress_part_two.keys,key_resp_stress_part_two.rt,key_resp_stress_part_two.started,key_resp_stress_part_two.stopped,rating_stress_part_two.response,rating_stress_part_two.rt,text_cooldown_title.started,text_cooldown_title.stopped,text_cooldown.started,text_cooldown.stopped,text_cooldown_instructions_title.started,text_cooldown_instructions_title.stopped,text_cooldown_measurement.started,text_cooldown_measurement.stopped,rating_cooldown.response,rating_cooldown.rt,text_emotion_screen_title.started,text_emotion_screen_title.stopped,text_emotion_screen.started,text_emotion_screen.stopped,text_emotion_screen_pos_title.started,text_emotion_screen_pos_title.stopped,text_emotion_pos_screen.started,text_emotion_pos_screen.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.625847799999974,None,13.775699200000417,18.776732000000266,29.275021400000696,None,1,2.774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2325,MTEC_paradigm,3.1.3,147.80982787420638,
2,green,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2325,MTEC_paradigm,3.1.3,147.80982787420638,
3,green,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2325,MTEC_paradigm,3.1.3,147.80982787420638,
4,green,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2325,MTEC_paradigm,3.1.3,147.80982787420638,
5,green,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2325,MTEC_paradigm,3.1.3,147.80982787420638,
6,green,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2325,MTEC_paradigm,3.1.3,147.80982787420638,
7,green,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2325,MTEC_paradigm,3.1.3,147.80982787420638,
8,green,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2325,MTEC_paradigm,3.1.3,147.80982787420638,
9,green,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2325,MTEC_paradigm,3.1.3,147.80982787420638,
10,green,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2325,MTEC_paradigm,3.1.3,147.80982787420638,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.97359400000005,None,2,1.735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2325,MTEC_paradigm,3.1.3,147.80982787420638,
,,red,green,red,green,right,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,59.97359400000005,None,76.64958260000003,None,right,1.99602060000052,76.64958260000003,None,,,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2325,MTEC_paradigm,3.1.3,147.80982787420638,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.637,,,,,,,,,,,,,,,,,,,,001,2019_Aug_14_2325,MTEC_paradigm,3.1.3,147.80982787420638,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.51127410000026,None,81.51127410000026,None,86.51110750000043,91.51031460000013,102.01388790000055,None,2,2.574,,,,,,,,,,001,2019_Aug_14_2325,MTEC_paradigm,3.1.3,147.80982787420638,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,110.98724410000068,None,110.98724410000068,None,115.98809690000053,None,115.98809690000053,None,,,,,,,
